color,count,edges,3D-requirement
#f6a52aff,2,0,16
#f7ab31ff,7,0,56
#f9a932ff,4,0,32
#f7ab3cff,6,0,48
#ee396bff,1,0,8
#f0aa1cff,2,0,16
#040913ff,2,2,18
#03020fff,4,2,34
#efaa36ff,1,0,8
#f8ac2bff,6,0,48
#02060aff,4,4,36
#fc2c7bff,4,0,32
#faaa2eff,2,0,16
#eea739ff,1,0,8
#14030aff,1,1,9
#eeb02bff,2,0,16
#f5a840ff,2,0,16
#04031aff,3,0,24
#f3ad35ff,7,0,56
#f1ae30ff,3,0,24
#efaa2aff,1,0,8
#eead3aff,2,0,16
#f2ac2dff,1,0,8
#0a0605ff,2,4,20
#030202ff,18,18,162
#fbab25ff,3,0,24
#eeab46ff,1,0,8
#fba83cff,4,0,32
#f3ae2bff,3,0,24
#f23178ff,2,5,21
#f7b33bff,1,0,8
#f8a838ff,3,0,24
#f5ac2fff,6,0,48
#fca834ff,4,0,32
#f5ab34ff,8,0,64
#f1b147ff,1,0,8
#edaf34ff,4,0,32
#f8ab42ff,2,0,16
#050209ff,1,0,8
#040504ff,8,10,74
#f2b023ff,2,0,16
#faaf33ff,3,0,24
#08060bff,1,2,10
#f4ab39ff,3,0,24
#0c040dff,2,3,19
#0a0201ff,1,0,8
#f6aa36ff,6,0,48
#e9ad42ff,1,0,8
#f83179ff,2,1,17
#070a08ff,3,6,30
#0b0206ff,1,0,8
#f7ab26ff,1,0,8
#f9a441ff,1,0,8
#f7a934ff,4,0,32
#f4ae27ff,2,0,16
#090b1aff,1,0,8
#080211ff,4,2,34
#f1ac40ff,2,0,16
#fb2e80ff,1,0,8
#eb3479ff,1,2,10
total,181,62,1510
